arm,status,test_blocks,mean_brier,mean_log_loss,mean_ece_10,calibration_intercept,calibration_slope,mean_accuracy,mean_balanced_accuracy,delta_brier_vs_A,delta_logloss_vs_A
A,TESTED,3,0.24926140755996137,0.6916721523135622,0.030456852906550022,0.00037158343938485894,1.2076389505246403,0.5333333333333333,0.5342237409269449,0.0,0.0
B,TESTED,3,0.24935923542874616,0.6918641202397543,0.054792804767612974,-0.0008354196591714944,0.8188294931120569,0.5309941520467837,0.5323319849577122,9.782786878478889e-05,0.0001919679261921381
C,TESTED,3,0.24965915921877166,0.6923698705300145,0.05215913505223438,-0.003518660920103958,0.8045619373686471,0.5274853801169591,0.5285141974506149,0.00039775165881028585,0.0006977182164523699
D,NOT_TESTABLE_AT_ZERO_COST,0,,,,,,,,,
E,VALIDATION_SELECTED_PER_BLOCK,,,,,,,,,,
