# SOURCE_CLASS=PRODUCTION_DERIVED_FROM_PUBLIC_INPUTS
# CAPTURE_TIME_UTC=2026-08-14T21:46:28Z
# SOURCE_ENDPOINT_OR_CLASS=PUBLIC_RUNTIME_PREDICTION_SNAPSHOT
# RAW_OR_DERIVED=DERIVED
# TRANSFORMATION=DETERMINISTIC_DECISION_CAUSAL_ATTRIBUTION_V2
# ROW_COUNT=348
# SHA256=754be1f1f9252908b5eaa72527d544273df0d1a5e92f54fc13dde49051375646
timestamp,prediction_id,symbol,runtime_lineage,feature_cutoff_time,raw_direction_candidate,post_regime_direction_candidate,raw_conviction,raw_confidence_semantics,feature_values,feature_statuses,masked_features,learning_version,learning_source_n,learning_effective_weights,aggregate_pressure,expected_move,expected_value_raw_before_cost,base_ev,adjusted_ev,estimated_cost,fee_component,spread_component,slippage_component,entropy_discount_or_penalty,risk_penalty_or_multiplier,survivability_factor,ruin_probability_fields,dynamic_min_ev,regime_gate,agreement_gate,authority_gate,pre_ev_decision,post_ev_decision,pre_risk_decision,post_risk_decision,final_decision,primary_reject_reason,secondary_reject_reasons,distance_to_binding_threshold,first_binding_gate,action,action_reason,action_reason_semantics,ev_selected_branch,market_anchor_ev_recomputed,core_survival_ev_recomputed,ev_residual
2026-08-13T03:05:05.2087+00:00,11,ETHUSDT,PRE_AUD061_SCHEMA_COMPATIBLE_UNKNOWN_COMMIT,,SHORT,SHORT,0.375106,RAW_CONVICTION_UNCALIBRATED,"{""bidask_imbalance"":-0.14256385757081338,""funding_signal"":0.0,""oi_momentum"":0.0,""orderflow"":-0.232651802732721,""price_momentum"":0.0006163950454590573,""volume_delta"":-0.6319129314886821}",{},[],,1,"{""bidask_imbalance"":0.35,""funding_signal"":0.3,""oi_momentum"":0.4,""orderflow"":1.0,""price_momentum"":0.5,""volume_delta"":0.6}",-0.282475,0.0018347956,0.0018347956,0.00123512,-0.00014929,0.0006,0.0004,0.0,0.00019999999999999993,0.808334,1.0,0.5,"{""core_risk_ruin_prob"":0.0,""survivability_machine_ruin_prob"":null,""survivability_reason_ruin_prob"":0.5}",5e-05,PASS,PASS,NOT_IN_PRODUCTION_DECISION_EQUATION,SHORT,FLAT,SHORT,SHORT,FLAT,EV_NEGATIVE,[],-0.00019929,EV_NEGATIVE,HOLD,negative_ev: -0.00014929,COHERENT,MARKET_ANCHOR,-0.00014929432459864943,0.0012347956,4.324598649427551e-09
2026-08-13T03:05:12.923783+00:00,12,BTCUSDT,PRE_AUD061_SCHEMA_COMPATIBLE_UNKNOWN_COMMIT,,SHORT,SHORT,0.252001,RAW_CONVICTION_UNCALIBRATED,"{""bidask_imbalance"":-0.08137970599264421,""funding_signal"":0.0,""oi_momentum"":0.0,""orderflow"":-0.14511388221448762,""price_momentum"":1.8883244896757267e-05,""volume_delta"":-0.7831703917387491}",{},[],,1,"{""bidask_imbalance"":0.35,""funding_signal"":0.3,""oi_momentum"":0.4,""orderflow"":1.0,""price_momentum"":0.5,""volume_delta"":0.6}",-0.173596,0.00097770055,0.00097770055,0.00037805,-0.00023704,0.0006,0.0004,0.0,0.00019999999999999993,0.808334,1.0,0.5,"{""core_risk_ruin_prob"":0.0,""survivability_machine_ruin_prob"":null,""survivability_reason_ruin_prob"":0.5}",5e-05,PASS,PASS,NOT_IN_PRODUCTION_DECISION_EQUATION,SHORT,FLAT,SHORT,SHORT,FLAT,EV_NEGATIVE,[],-0.00028704,EV_NEGATIVE,HOLD,negative_ev: -0.00023704,COHERENT,MARKET_ANCHOR,-0.0002370447447660421,0.00037770055,4.744766042113742e-09
2026-08-13T03:20:22.848549+00:00,13,ETHUSDT,PRE_AUD061_SCHEMA_COMPATIBLE_UNKNOWN_COMMIT,,SHORT,SHORT,0.564759,RAW_CONVICTION_UNCALIBRATED,"{""bidask_imbalance"":-0.2948457790193922,""funding_signal"":0.0,""oi_momentum"":0.0,""orderflow"":-0.5218325885991488,""price_momentum"":0.0007379956251193921,""volume_delta"":-0.7698492762374856}",{},[],,1,"{""bidask_imbalance"":0.35,""funding_signal"":0.3,""oi_momentum"":0.4,""orderflow"":1.0,""price_momentum"":0.5,""volume_delta"":0.6}",-0.625001,0.002495698288,0.002495698288,0.00189618,7.565e-05,0.0006,0.0004,0.0,0.00019999999999999993,0.808334,1.0,0.5,"{""core_risk_ruin_prob"":0.0,""survivability_machine_ruin_prob"":null,""survivability_reason_ruin_prob"":0.5}",5e-05,PASS,PASS,NOT_IN_PRODUCTION_DECISION_EQUATION,SHORT,SHORT,SHORT,SHORT,SHORT,NONE_DIRECTIONAL_EXECUTE,[],,NONE_DIRECTIONAL_EXECUTE,EXECUTE,EU_EXECUTE: dir=SHORT conv=0.5648 gate=0.878 ev=0.000076 risk=0.0000 size=0.0500 kelly=0.1412 conv_mult=0.8784 entropy_mult=0.8083 calib_mult=1.0000 risk_mult=0.5000 exec_adj=0.9985 feedback=1.0000,COHERENT,MARKET_ANCHOR,7.564768656121961e-05,0.001895698288,2.313438780387339e-09
2026-08-13T03:20:31.202045+00:00,14,BTCUSDT,PRE_AUD061_SCHEMA_COMPATIBLE_UNKNOWN_COMMIT,,LONG,LONG,0.564462,RAW_CONVICTION_UNCALIBRATED,"{""bidask_imbalance"":0.22938013060166706,""funding_signal"":0.0,""oi_momentum"":0.0,""orderflow"":0.33283181344166607,""price_momentum"":0.0007456042383039463,""volume_delta"":0.451005423044463}",{},[],,1,"{""bidask_imbalance"":0.35,""funding_signal"":0.3,""oi_momentum"":0.4,""orderflow"":1.0,""price_momentum"":0.5,""volume_delta"":0.6}",0.413689,0.001551973236,0.001551973236,0.00095186,-7.672e-05,0.0006,0.0004,0.0,0.00019999999999999993,0.863889,1.0,0.5,"{""core_risk_ruin_prob"":0.0,""survivability_machine_ruin_prob"":null,""survivability_reason_ruin_prob"":0.5}",5e-05,PASS,PASS,NOT_IN_PRODUCTION_DECISION_EQUATION,LONG,FLAT,LONG,LONG,FLAT,EV_NEGATIVE,[],-0.00012672,EV_NEGATIVE,HOLD,negative_ev: -0.00007672,COHERENT,MARKET_ANCHOR,-7.671669217497747e-05,0.0009519732360000001,-3.3078250225314397e-09
2026-08-13T03:30:27.182059+00:00,15,ETHUSDT,PRE_AUD061_SCHEMA_COMPATIBLE_UNKNOWN_COMMIT,,SHORT,SHORT,0.46503,RAW_CONVICTION_UNCALIBRATED,"{""bidask_imbalance"":-0.16771561481104402,""funding_signal"":0.0,""oi_momentum"":0.0,""orderflow"":-0.3342395117427167,""price_momentum"":0.0001964886939344037,""volume_delta"":-0.9928944130770772}",{},[],,1,"{""bidask_imbalance"":0.35,""funding_signal"":0.3,""oi_momentum"":0.4,""orderflow"":1.0,""price_momentum"":0.5,""volume_delta"":0.6}",-0.392959,0.001997335486,0.001997335486,0.00139688,-0.00034945,0.0006,0.0004,0.0,0.00019999999999999993,0.808334,1.0,0.5,"{""core_risk_ruin_prob"":0.0,""survivability_machine_ruin_prob"":null,""survivability_reason_ruin_prob"":0.5}",5e-05,PASS,PASS,NOT_IN_PRODUCTION_DECISION_EQUATION,SHORT,FLAT,SHORT,SHORT,FLAT,EV_NEGATIVE,[],-0.00039945,EV_NEGATIVE,HOLD,negative_ev: -0.00034945,COHERENT,MARKET_ANCHOR,-0.0003494472461050102,0.0013973354860000002,-2.7538949898156355e-09
2026-08-13T03:30:35.313477+00:00,16,BTCUSDT,PRE_AUD061_SCHEMA_COMPATIBLE_UNKNOWN_COMMIT,,LONG,LONG,0.551318,RAW_CONVICTION_UNCALIBRATED,"{""bidask_imbalance"":0.22542056971331637,""funding_signal"":0.0,""oi_momentum"":0.0,""orderflow"":0.44950485104642307,""price_momentum"":6.134824567615135e-05,""volume_delta"":-0.9940720211030026}",{},[],,1,"{""bidask_imbalance"":0.35,""funding_signal"":0.3,""oi_momentum"":0.4,""orderflow"":1.0,""price_momentum"":0.5,""volume_delta"":0.6}",0.559524,0.001626755906,0.001626755906,0.00102692,-0.00037657,0.0006,0.0004,0.0,0.00019999999999999993,0.811446,1.0,0.5,"{""core_risk_ruin_prob"":0.0,""survivability_machine_ruin_prob"":null,""survivability_reason_ruin_prob"":0.5}",5e-05,PASS,PASS,NOT_IN_PRODUCTION_DECISION_EQUATION,LONG,FLAT,LONG,LONG,FLAT,EV_NEGATIVE,[],-0.00042657,EV_NEGATIVE,HOLD,negative_ev: -0.00037657,COHERENT,MARKET_ANCHOR,-0.00037656578611526987,0.0010267559060000001,-4.213884730139717e-09
2026-08-13T03:45:53.913704+00:00,17,ETHUSDT,PRE_AUD061_SCHEMA_COMPATIBLE_UNKNOWN_COMMIT,,SHORT,SHORT,0.611612,RAW_CONVICTION_UNCALIBRATED,"{""bidask_imbalance"":-0.4695050584423817,""funding_signal"":0.0,""oi_momentum"":0.0,""orderflow"":-0.9342396288846226,""price_momentum"":0.000238849699845568,""volume_delta"":-0.9898393256593077}",{},[],,2,"{""bidask_imbalance"":0.35,""funding_signal"":0.3,""oi_momentum"":0.4,""orderflow"":1.0,""price_momentum"":0.5,""volume_delta"":0.6}",-1.098589,0.0024640506350000002,0.0024640506350000002,0.00186369,-0.00027341,0.0006,0.0004,0.0,0.00019999999999999993,0.808334,1.0,0.5,"{""core_risk_ruin_prob"":0.0,""survivability_machine_ruin_prob"":null,""survivability_reason_ruin_prob"":0.5}",5e-05,PASS,PASS,NOT_IN_PRODUCTION_DECISION_EQUATION,SHORT,FLAT,SHORT,SHORT,FLAT,EV_NEGATIVE,[],-0.00032341,EV_NEGATIVE,HOLD,negative_ev: -0.00027341,COHERENT,MARKET_ANCHOR,-0.00027341118567483666,0.0018640506350000004,1.1856748366326567e-09
2026-08-13T03:46:01.638955+00:00,18,BTCUSDT,PRE_AUD061_SCHEMA_COMPATIBLE_UNKNOWN_COMMIT,,SHORT,SHORT,0.574296,RAW_CONVICTION_UNCALIBRATED,"{""bidask_imbalance"":-0.6821724442262014,""funding_signal"":0.0,""oi_momentum"":0.0,""orderflow"":-1.3377438664513406,""price_momentum"":0.0002799794262309722,""volume_delta"":-0.9610054287208333}",{},[],,1,"{""bidask_imbalance"":0.35,""funding_signal"":0.3,""oi_momentum"":0.4,""orderflow"":1.0,""price_momentum"":0.5,""volume_delta"":0.6}",-1.472422,0.00177412336,0.00177412336,0.00117427,-0.00029545,0.0006,0.0004,0.0,0.00019999999999999993,0.787513,1.0,0.5,"{""core_risk_ruin_prob"":0.0,""survivability_machine_ruin_prob"":null,""survivability_reason_ruin_prob"":0.5}",5e-05,PASS,PASS,NOT_IN_PRODUCTION_DECISION_EQUATION,SHORT,FLAT,SHORT,SHORT,FLAT,EV_NEGATIVE,[],-0.00034545,EV_NEGATIVE,HOLD,negative_ev: -0.00029545,COHERENT,MARKET_ANCHOR,-0.0002954528219763539,0.0011741233599999999,2.821976353875426e-09
2026-08-13T04:01:13.011229+00:00,19,ETHUSDT,PRE_AUD061_SCHEMA_COMPATIBLE_UNKNOWN_COMMIT,,SHORT,SHORT,0.382629,RAW_CONVICTION_UNCALIBRATED,"{""bidask_imbalance"":-0.12495428334498467,""funding_signal"":0.0,""oi_momentum"":0.0,""orderflow"":-0.24658889884726634,""price_momentum"":-0.00011125533098462895,""volume_delta"":-0.973432940801735}",{},[],,2,"{""bidask_imbalance"":0.35,""funding_signal"":0.3,""oi_momentum"":0.4,""orderflow"":1.0,""price_momentum"":0.5,""volume_delta"":0.6}",-0.290314,0.00170106528,0.00170106528,0.00110102,-0.00035411,0.0006,0.0004,0.0,0.00019999999999999993,0.808334,1.0,0.5,"{""core_risk_ruin_prob"":0.0,""survivability_machine_ruin_prob"":null,""survivability_reason_ruin_prob"":0.5}",5e-05,PASS,PASS,NOT_IN_PRODUCTION_DECISION_EQUATION,SHORT,FLAT,SHORT,SHORT,FLAT,EV_NEGATIVE,[],-0.00040411,EV_NEGATIVE,HOLD,negative_ev: -0.00035411,COHERENT,MARKET_ANCHOR,-0.0003541139569129206,0.0011010652800000002,3.9569129206399635e-09
2026-08-13T04:01:25.123101+00:00,20,BTCUSDT,PRE_AUD061_SCHEMA_COMPATIBLE_UNKNOWN_COMMIT,,SHORT,SHORT,0.617528,RAW_CONVICTION_UNCALIBRATED,"{""bidask_imbalance"":-0.5695129395980456,""funding_signal"":0.0,""oi_momentum"":0.0,""orderflow"":-1.1153412840701773,""price_momentum"":-4.084948066179019e-05,""volume_delta"":-0.9584125425795764}",{},[],,1,"{""bidask_imbalance"":0.35,""funding_signal"":0.3,""oi_momentum"":0.4,""orderflow"":1.0,""price_momentum"":0.5,""volume_delta"":0.6}",-1.327093,0.0017721194400000001,0.0017721194400000001,0.00117163,-0.00033518,0.0006,0.0004,0.0,0.00019999999999999993,0.809576,1.0,0.5,"{""core_risk_ruin_prob"":0.0,""survivability_machine_ruin_prob"":null,""survivability_reason_ruin_prob"":0.5}",5e-05,PASS,PASS,NOT_IN_PRODUCTION_DECISION_EQUATION,SHORT,FLAT,SHORT,SHORT,FLAT,EV_NEGATIVE,[],-0.00038518,EV_NEGATIVE,HOLD,negative_ev: -0.00033518,COHERENT,MARKET_ANCHOR,-0.00033518181784580664,0.00117211944,1.8178458066099579e-09
